ESPN Link,Moment Inning,Moment Ball/Over
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-australia-2nd-semi-final-1144529/ball-by-ball-commentary,1,19.4
https://www.espncricinfo.com/series/icc-under-19-world-cup-2012-526969/australia-under-19s-vs-england-under-19s-2nd-match-group-a-554517/full-scorecard,2,31.6
https://www.espncricinfo.com/series/icc-u-19-wc-2017-18-1116872/australia-under-19s-vs-england-under-19s-quarter-final-1116922/full-scorecard,2,19.2
https://www.espncricinfo.com/series/icc-under-19-world-cup-2013-14-700273/australia-under-19s-vs-west-indies-under-19s-2nd-quarter-final-700391/full-scorecard,2,44.4
https://www.espncricinfo.com/series/icc-under-19-world-cup-2013-14-700273/australia-under-19s-vs-south-africa-under-19s-2nd-semi-final-700415/full-scorecard,1,48.2
https://www.espncricinfo.com/series/icc-under-19-world-cup-2012-526969/australia-under-19s-vs-south-africa-under-19s-1st-semi-final-554549/ball-by-ball-commentary,2,37.5
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-new-zealand-1st-semi-final-1144528/ball-by-ball-commentary,1,22.5
https://www.espncricinfo.com/series/icc-under-19-world-cup-2021-22-1289790/australia-under-19s-vs-pakistan-under-19s-super-league-quarter-final-3-1289823/full-scorecard,1,39.5
https://www.espncricinfo.com/series/icc-world-twenty20-2012-13-531597/australia-vs-west-indies-8th-match-group-b-533279/full-scorecard,1,5.2
https://www.espncricinfo.com/series/icc-champions-trophy-2017-1022345/pakistan-vs-sri-lanka-12th-match-group-b-1022369/full-scorecard,1,49.2
https://www.espncricinfo.com/series/icc-under-19-world-cup-2012-526969/australia-under-19s-vs-nepal-under-19s-9th-match-group-a-554527/ball-by-ball-commentary,2,3.6
https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/australia-under-19s-vs-england-under-19s-16th-match-group-b-1204690/full-scorecard,2,0.6
https://www.espncricinfo.com/series/icc-under-19-world-cup-2013-14-700273/australia-under-19s-vs-south-africa-under-19s-2nd-semi-final-700415/ball-by-ball-commentary,2,37.4
https://www.espncricinfo.com/series/icc-u-19-wc-2017-18-1116872/australia-under-19s-vs-england-under-19s-quarter-final-1116922/full-scorecard,1,24.2
https://www.espncricinfo.com/series/icc-under-19-world-cup-2012-526969/australia-under-19s-vs-nepal-under-19s-9th-match-group-a-554527/ball-by-ball-commentary,1,5.6
https://www.espncricinfo.com/series/icc-under-19-world-cup-2012-526969/australia-under-19s-vs-england-under-19s-2nd-match-group-a-554517/full-scorecard,1,32.3
https://www.espncricinfo.com/series/icc-under-19-world-cup-2012-526969/australia-under-19s-vs-england-under-19s-2nd-match-group-a-554517/full-scorecard,2,12.2
https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/australia-under-19s-vs-england-under-19s-16th-match-group-b-1204690/full-scorecard,2,25.6
https://www.espncricinfo.com/series/icc-under-19-world-cup-2012-526969/australia-under-19s-vs-england-under-19s-2nd-match-group-a-554517/full-scorecard,1,11.1
https://www.espncricinfo.com/series/icc-u-19-wc-2017-18-1116872/australia-under-19s-vs-england-under-19s-quarter-final-1116922/full-scorecard,1,3.3
https://www.espncricinfo.com/series/icc-champions-trophy-2017-1022345/england-vs-australia-10th-match-group-a-1022365/full-scorecard,1,25.2
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-south-africa-45th-match-1144527/ball-by-ball-commentary,2,17.4
https://www.espncricinfo.com/series/icc-under-19-world-cup-2009-10-418157/australia-under-19s-vs-sri-lanka-under-19s-42nd-match-2nd-semi-final-432034/full-scorecard,2,0.4
https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/australia-under-19s-vs-england-under-19s-16th-match-group-b-1204690/full-scorecard,2,31.3
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-pakistan-17th-match-1144499/ball-by-ball-commentary,1,40.5
https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/australia-under-19s-vs-england-under-19s-16th-match-group-b-1204690/full-scorecard,2,45.2
https://www.espncricinfo.com/series/icc-under-19-world-cup-2012-526969/australia-under-19s-vs-england-under-19s-2nd-match-group-a-554517/full-scorecard,2,34.4
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-new-zealand-37th-match-1144519/ball-by-ball-commentary,1,31.1
https://www.espncricinfo.com/series/icc-u-19-wc-2017-18-1116872/afghanistan-under-19s-vs-australia-under-19s-semi-final-1116936/ball-by-ball-commentary,1,47.6
